method,region,trace_id,qoe,average_bitrate_mbps,total_rebuffer_s,startup_delay_s,smoothness_penalty_mbps,wasted_traffic_ratio,preflight_capped_decisions,rescue_decisions,severe_session
robust_mpc,us,us_recording_223_window_004.trace,5326,113.29166666666667,0,0.867,112,0,0,0,0
robust_mpc,us,us_recording_196_window_014.trace,5236,111.41666666666667,0,0.9513000001907349,112,0,0,0,0
robust_mpc,us,us_recording_222_window_001.trace,4880.632000007629,107.66666666666667,1.3841999998092651,0.8595,232,0,0,0,0
robust_mpc,us,us_recording_192_window_007.trace,5174.0440000152585,110.79166666666667,0.7988999996185302,1.0024000005722047,112,0,0,0,0
robust_mpc,us,us_recording_203_window_004.trace,3821.38,88.14583333333333,4.8405,0.964,216,0,0,0,0
robust_mpc,us,us_recording_213_window_006.trace,4308.064000015259,97.35416666666667,3.3233999996185304,0.9846999998092651,232,0,0,0,0
robust_mpc,us,us_recording_226_window_005.trace,3056.148000030518,77.97916666666667,6.121299999237061,0.9996000003814697,442,0,0,0,0
robust_mpc,us,us_recording_225_window_004.trace,3737.8559999465942,93.91666666666667,11.203600001335143,0.9110999994277954,322,0,0,0,1
robust_mpc,us,us_recording_212_window_001.trace,1753.5880000305176,51.291666666666664,11.31029999923706,3.28389999961853,256,0,0,0,1
robust_mpc,vic,vic_recording_148_window_000.trace,4108.16,95.16666666666667,5.6960000000000015,0.9368999996185303,232,0,0,0,0
robust_mpc,vic,vic_recording_143_window_000.trace,5416,115.16666666666667,0,0.9071000003814698,112,0,0,0,0
robust_mpc,vic,vic_recording_122_window_000.trace,3841.1559999847414,93.29166666666667,7.12110000038147,0.9441000003814697,352,0,0,0,0
robust_mpc,vic,vic_recording_123_window_000.trace,4570.716000022888,107.04166666666667,5.382099999427795,1.0669000005722047,352,0,0,0,0
robust_mpc,vic,vic_recording_130_window_000.trace,4591.856000022888,106.41666666666667,7.103599999427795,0.9613999996185303,232,0,0,0,0
robust_mpc,vic,vic_recording_107_window_000.trace,2025.159999961853,79.54166666666667,33.02100000095367,0.9315,472,0,0,0,1
robust_mpc,vic,vic_recording_131_window_000.trace,3089.1319999313355,79.22916666666667,9.796700001716614,1.0776000003814696,322,0,0,0,0
robust_mpc,vic,vic_recording_135_window_000.trace,1459.8680000686645,57.520833333333336,23.87829999828339,0.897,346,0,0,0,1
robust_mpc,vic,vic_recording_111_window_000.trace,973.1720000076293,44.104166666666664,15.695699999809266,1.3024000005722045,516,0,0,0,1
robust_mpc,vic,vic_recording_112_window_000.trace,577.6359999847411,41.166666666666664,26.759100000381473,1.1668999996185303,328,0,0,0,1
safesabr_selective_rescue,osn,osn_recording_099_window_001.trace,5391.015999984741,115.79166666666667,1.3746000003814698,0.8855999994277954,112,0,0,0,0
safesabr_selective_rescue,osn,osn_recording_080_window_001.trace,4932.15200000763,109.54166666666667,3.846199999809265,0.9870999994277954,172,0.004653193532817917,3,2,0
safesabr_selective_rescue,osn,osn_recording_093_window_000.trace,4603.060000076294,110.16666666666667,8.32349999809265,1.1583999996185304,352,0.007577591561557583,2,2,0
safesabr_selective_rescue,osn,osn_recording_063_window_000.trace,4393.39200000763,105.16666666666667,6.065199999809265,0.9864000005722046,412,0.004529281976113185,2,2,0
